Ten Cong Ty,Ten Quan Tri,Ma So Thue,Dia Chi,Nguoi Dai Dien,Phone,Ngay Hoat Dong,Quan Ly,Loai Hinh,Tinh Trang
CÔNG TY TNHH SEA VG,SEA VG COMPANY LIMITED,3502528409,"Tầng 6, toà nhà Anh Group, số 111 Hoàng Hoa Thám, Phường 2, Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",GUSHCHIN VLADIMIR MIKHAILOVICH,0918086370,2024-09-05,Cục Thuế Tỉnh Bà Rịa - Vũng Tàu,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TRÁCH NHIỆM HỮU HẠN ĐẦU TƯ PHÁT TRIỂN QUẢNG CÁO TÂM TÀI,TAM TAI ADVERTISING DEVELOPMENT INVERTMENT COMPANY LIMITED,3502528374,"Số 23A Đường Hoàng Hoa Thám, Phường Long Tâm, Thành phố Bà Rịa, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",NGUYỄN THIỆN TÂM,0901542125,2024-09-04,Chi cục Thuế khu vực Bà Rịa - Long Điền - Đất Đỏ,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH MUNTERRA,3502528448,,,,,,,,
CÔNG TY TNHH ONLINE MALL MARKET ACC 222,ONLINE MALL MARKET ACC 222 COMPANY LIMITED,3502528416,"52/5 ấp Phước Lộc, Xã Phước Hưng, Huyện Long Điền, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",NGUYỄN THỊ BÉ,0937402062,2024-09-05,Chi cục Thuế khu vực Bà Rịa - Long Điền - Đất Đỏ,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CHI NHÁNH CÔNG TY TNHH NATURAL HOUSE,0315462181-002,,0909663899,,Chi cục Thuế khu vực Xuyên Mộc - Châu Đức,,,,
DOANH NGHIỆP TƯ NHÂN NGUYỄN VĂN ĐỒNG,DNTN NGUYỄN VĂN ĐỒNG,"Số 39 Đường Yên Bái, Phường 4, Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",,,,,,,
CÔNG TY TNHH NHÀ HÀNG KHÁCH SẠN VẠN THẠNH,VAN THANH HOTEL RESTAURANT COMPANY LIMITED,3502528543,"Số 67/1 Đường Hoàng Hoa Thám, Phường 3, Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",VŨ HOÀNG HIỆP,,,,,
CÔNG TY TNHH TƯ VẤN THIẾT KẾ VÀ ĐẦU TƯ XÂY DỰNG NGUYÊN PHÁT,3502528568,,,,,,,,
CÔNG TY TNHH QUỐC TẾ Ô CẤP LAND,3502528550,,,,,,,,
CÔNG TY TNHH THƯƠNG MẠI ĐIỆN TỬ HẢI THIÊN ANH,3502528575,,,,,,,,
CÔNG TY TNHH NHÀ HÀNG KHÁCH SẠN QUANG ĐIỆP,QUANG DIEP HOTEL RESTAURANT COMPANY LIMITED,3502528582,"Số A25, Khu Á Châu, Đường Hoàng Hoa Thám, Phường Thắng Tam, Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",NGUYỄN TRUNG LẬP,,,,,
CÔNG TY TNHH ONLINE MALL MARKET ACC 111,ONLINE MALL MARKET ACC 111 COMPANY LIMITED,3502528617,"1216/63A2 đường 30/4, Phường 12, Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",NGUYỄN THÀNH ĐẠT,,,,,
CÔNG TY TNHH BẢO VỆ AN NINH 24H - BGI,2400998185,,0968482555,,Chi cục Thuế khu vực Tân Yên - Yên Thế,,,,
CÔNG TY TNHH LAM TIM,LAM TIM COMPANY LIMITED,2400998192,"Số 3, Tổ dân phố Ngô Xá, Thị Trấn Cao Thượng, Huyện Tân Yên, Tỉnh Bắc Giang, Việt Nam",TRỊNH HÀO NAM,0345254772,2024-08-29,Chi cục Thuế khu vực Tân Yên - Yên Thế,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH THA NHAN HL,THA NHAN HL COMPANY LIMITED,"Thôn Thanh An, Xã Trù Hựu, Huyện Lục Ngạn, Tỉnh Bắc Giang, Việt Nam",,,2024-08-29,Chi cục Thuế khu vực Lục Ngạn - Sơn Động,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ VẬN TẢI DƯƠNG HOA,2400998241,,0387874075,,Chi cục Thuế khu vực Việt Yên - Hiệp Hòa,,,,
CÔNG TY TNHH AN MỸ QUÝ,2400998259,,0362665501,,Chi cục Thuế khu vực Việt Yên - Hiệp Hòa,,,,
CÔNG TY TNHH MTV MMG BẮC GIANG,2400998280,,0777887084,,Chi cục Thuế khu vực Lạng Giang - Lục Nam,,,,
CÔNG TY TNHH MTV TM VÀ XD HÀ TRƯỜNG LS,2400998298,,0776189240,,Chi cục Thuế khu vực Lạng Giang - Lục Nam,,,,
CÔNG TY TNHH KỸ THUẬT NGÂN NINH VIỆT NAM,"NGAN NINH VIET NAM CO., LTD","Tổ dân phố My Điền 2, Phường Nếnh, Thị Xã Việt Yên, Tỉnh Bắc Giang, Việt Nam",,,2024-08-30,Chi cục Thuế khu vực Việt Yên - Hiệp Hòa,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI SẢN XUẤT BAGATA,BAGATA INVESTMENT TRADING PRODUCTION LIMITED COMPANY,2400998322,"Phố Mới, Đường 292, Thôn 3, Xã An Hà, Huyện Lạng Giang, Tỉnh Bắc Giang, Việt Nam",ĐÀO THỊ OANH,0984001804,2024-08-30,Chi cục Thuế khu vực Lạng Giang - Lục Nam,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH THIẾT BỊ CÔNG NGHIỆP GIA VƯỢNG VIỆT NAM,GIA VUONG VIETNAM INDUSTRIAL EQUIPMENT COMPANY LIMITED,"Tổ dân phố Đạo Ngạn, Phường Quang Châu, Thị Xã Việt Yên, Tỉnh Bắc Giang, Việt Nam",,,2024-08-30,Chi cục Thuế khu vực Việt Yên - Hiệp Hòa,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY CỔ PHẦN GIÁO DỤC EOV,EOV EDUCATION JOINT STOCK COMPANY,2400998354,"Số 107 thôn Xuân, Xã Tân Tiến, Thành phố Bắc Giang, Tỉnh Bắc Giang, Việt Nam",NGÔ THỊ DƯ,0916 223 954,2024-08-30,Chi cục Thuế khu vực Bắc Giang - Yên Dũng,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
DNTN VÀNG BẠC TUÂN THUÝ,2400998308,,0833039888,,Chi cục Thuế khu vực Tân Yên - Yên Thế,,,,
CÔNG TY TNHH MTV TMTH VIỆT HƯNG,2400998361,,0912 718 123,,Chi cục Thuế khu vực Bắc Giang - Yên Dũng,,,,
CÔNG TY TNHH KIỂM TOÁN VÀ TƯ VẤN ĐẦU TƯ THĂNG LONG-VĂN PHÒNG ĐẠI DIỆN TẠI BẮC GIANG,Thang Long Audit service and investment consult Company limited - Representative office at Bac Giang,0101197803-005,"Nhà số 8 LK24, Phố đi bộ khu dân cư phía Nam, Phường Dĩnh Kế, Thành phố Bắc Giang, Tỉnh Bắc Giang, Việt Nam",NGUYỄN THỊ NGA,2024-08-29,Cục Thuế Tỉnh Bắc Giang,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH XNK VÀ DỊCH VỤ THIÊN ANH SPORST,THIEN ANH SPORST XNK AND SERVICES COMPANY LIMITED,2400998393,"Xóm Tân Tiến, Xã Hương Gián, Huyện Yên Dũng, Tỉnh Bắc Giang, Việt Nam",NGUYỄN XUÂN CƯỜNG,0926789333,2024-09-05,Chi cục Thuế khu vực Bắc Giang - Yên Dũng,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH XNK VÀ THƯƠNG MẠI QUỐC TẾ HONGKONG,HONGKONG INTERNATIONAL TRADING AND XNK COMPANY LIMITED,2400998379,"Tầng 2 SH07, Toà nhà Saigontel Central Park, Số 59 Nguyễn Văn Cừ, Phường Ngô Quyền, Thành phố Bắc Giang, Tỉnh Bắc Giang, Việt Nam",VŨ HẢI ĐỨC,084 9451688,2024-09-05,Chi cục Thuế khu vực Bắc Giang - Yên Dũng,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH TƯ VẤN QUỐC VIỆT LUẬT,QUOC VIET LAW COMPANY LIMITED,2400998386,"Thôn Chàng, Xã Việt Tiến, Thị Xã Việt Yên, Tỉnh Bắc Giang, Việt Nam",NGUYỄN VĂN HUY,0866150697,2024-09-05,Chi cục Thuế khu vực Việt Yên - Hiệp Hòa,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH XÂY DỰNG & THƯƠNG MẠI VẬN TẢI TÚ CHUYÊN,TU CHUYEN CONSTRUCTION & TRADING TRANSPORT COMPANY LIMITED,"Thôn Ruồng, Xã Thượng Lan, Thị Xã Việt Yên, Tỉnh Bắc Giang, Việt Nam",,,2024-09-05,Chi cục Thuế khu vực Việt Yên - Hiệp Hòa,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH DVTM VÀ SX MAI TRANG 555,MAI TRANG 555 DVTM AND SX COMPANY LIMITED,"Thôn Bình Tân, Xã Khám Lạng, Huyện Lục Nam, Tỉnh Bắc Giang, Việt Nam",,,,,,,
CÔNG TY TNHH SẢN XUẤT VÀ TM BÌNH MINH GROUP,BINH MINH GROUP PRODUCTION AND TM COMPANY LIMITED,"Thôn Sặt, Xã Liên Sơn, Huyện Tân Yên, Tỉnh Bắc Giang, Việt Nam",,,,,,,
CÔNG TY TNHH KINH DOANH NƯỚC SẠCH NHƯ NGỌC,NHU NGOC CLEAN WATER BUSINESS COMPANY LIMITED,2400998410,"Thôn Thái Hà, Xã Đồng Hưu, Huyện Yên Thế, Tỉnh Bắc Giang, Việt Nam",BÙI ĐÌNH HOÀI,,,,,
CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG YÊN HÒA,YEN HOA CONSTRUCTION INVESTMENT JOINT STOCK COMPANY,2400998442,"Thôn Trại Đồi, Xã Minh Đức, Thị Xã Việt Yên, Tỉnh Bắc Giang, Việt Nam",BÙI QUANG GIÁP,,,,,
CÔNG TY CỔ PHẦN TM & XÂY DỰNG TRẦN GIA GROUP VN,2400998435,,,,,,,,
CÔNG TY TNHH WORLD BLAST,WORLD BLAST COMPANY LIMITED,"Số nhà 11, Khu dân cư thương mại, Phường Bích Động, Thị Xã Việt Yên, Tỉnh Bắc Giang, Việt Nam",,,,,,,
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ CÁNH BUỒM,SAIL TRADING AND SERVICES COMPANY LIMITED,"Thôn Đông, Xã An Hà, Huyện Lạng Giang, Tỉnh Bắc Giang, Việt Nam",,,,,,,
CÔNG TY TNHH CHẾ BIẾN LÂM SẢN MINH KHUÊ,MINH KHUE FOREST PRODUCT PROCESSING COMPANY LIMITED,4700293380,"Thôn Lũng Điếc, Xã Bành Trạch, Huyện Ba Bể, Tỉnh Bắc Kạn, Việt Nam",LÊ XUÂN NHUẬN,0358155166,2024-07-04,Chi cục Thuế khu vực Ba Bể - Ngân Sơn - Pác Nặm,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
"CÔNG TY CỔ PHẦN KHAI THÁC, CHẾ BIẾN KIM LOẠI MÀU NGỌC LINH",4700293373,,0975751366,,Cục Thuế Tỉnh Bắc Kạn,,,,
CÔNG TY TNHH TMP GROUP,4700293408,,0989241988,,Chi cục Thuế khu vực Bắc Kạn - Bạch Thông - Chợ Mới,,,,
CÔNG TY TNHH PHƯƠNG DƯƠNG BK,4700293126,,0982900818,,Chi cục Thuế khu vực Bắc Kạn - Bạch Thông - Chợ Mới,,,,
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VÀ XÂY DỰNG QUỐC HOÀNG,QUOC HOANG TRADING SERVICES AND CONSTRUCTION COMPANY LIMITED,4700293415,"Số nhà 158, tổ 11B, Phường Sông Cầu, Thành phố Bắc Kạn, Tỉnh Bắc Kạn, Việt Nam",TRẦN THỊ NHUNG,0889648828,2024-07-10,Chi cục Thuế khu vực Bắc Kạn - Bạch Thông - Chợ Mới,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH TƯ VẤN VÀ HỖ TRỢ GIÁO DỤC MẦM XANH,MAM XANH EDUCATION CONSULTING AND ADVICE COMPANY LIMITED,"Tổ nhân dân Hát Deng, Thị Trấn Yến Lạc, Huyện Na Rì, Tỉnh Bắc Kạn, Việt Nam",,,2024-07-16,Chi cục Thuế Huyện Na Rì,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN DOANH NHÂN TRẺ BẮC KẠN,BAC KAN ELITES INVESTMENT AND DEVELOPMENT JOINT STOCK COMPANY,4700293479,"Số 52 Trần Hưng Đạo, Tổ 10B, Phường Đức Xuân, Thành phố Bắc Kạn, Tỉnh Bắc Kạn, Việt Nam",LÊ VĂN THỤY,0846712222,2024-07-19,Chi cục Thuế khu vực Bắc Kạn - Bạch Thông - Chợ Mới,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY CỔ PHẦN NÔNG NGHIỆP CÔNG NGHỆ CAO KIM HỶ BẮC KẠN,4700293461,,0866360066,,Cục Thuế Tỉnh Bắc Kạn,,,,
CÔNG TY CỔ PHẦN NÔNG NGHIỆP CÔNG NGHỆ CAO XUÂN DƯƠNG BẮC KẠN,4700293493,,0869872872,,Cục Thuế Tỉnh Bắc Kạn,,,,
CÔNG TY TNHH GIÁO DỤC ICD,ICD EDUCATION COMPANY LIMITED,4700293422,"Tổ 11, Thị trấn Đồng Tâm, Huyện Chợ Mới, Tỉnh Bắc Kạn, Việt Nam",NGUYỄN HÀ DIỆU THƯƠNG,0917546535,2024-07-16,Chi cục Thuế khu vực Bắc Kạn - Bạch Thông - Chợ Mới,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH MỘT THÀNH VIÊN TRANG NAM NS,4700293486,,0815551975,,Chi cục Thuế khu vực Ba Bể - Ngân Sơn - Pác Nặm,,,,
CÔNG TY CỔ PHẦN QUANG VINH CKBK,4700293503,,0989898666,,Cục Thuế Tỉnh Bắc Kạn,,,,
CÔNG TY TNHH ĐK 311,4700293510,,0971396535,,Cục Thuế Tỉnh Bắc Kạn,,,,
CÔNG TY CỔ PHẦN ĐẦU TƯ QUỐC TẾ MHS,MHS INTERNATIONAL INVESTMENT JOINT STOCK COMPANY,4700293542,"Tầng 1 Khách sạn Sơn Nữ, Đường Kon Tum, Tổ 1 A, Phường Đức Xuân, Thành phố Bắc Kạn, Tỉnh Bắc Kạn, Việt Nam",VŨ HOA QUỲNH,0904812181,2024-07-26,Cục Thuế Tỉnh Bắc Kạn,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ DUY PHÚC,4700293535,,0374240121,,Chi cục Thuế khu vực Ba Bể - Ngân Sơn - Pác Nặm,,,,
CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN PHÚ HƯNG GIA,PHU HUNG GIA DEVELOPMENT AND INVESTMENT JOINT STOCK COMPANY,4700293567,"Số 51 ngõ 515 đường Kon Tum, tổ 11C, Phường Đức Xuân, Thành phố Bắc Kạn, Tỉnh Bắc Kạn, Việt Nam",NGUYỄN ANH ĐỨC,0913317715,2024-07-30,Cục Thuế Tỉnh Bắc Kạn,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH BÌNH LIÊN - BA BỂ,4700293581,,0985345832,,Cục Thuế Tỉnh Bắc Kạn,,,,
CÔNG TY TNHH TẤN PHÁT 88,4700293574,,0986584302,,Chi cục Thuế khu vực Ba Bể - Ngân Sơn - Pác Nặm,,,,
CÔNG TY TNHH THỰC PHẨM SEONG BẮC KẠN,Seong Bac Kan food limited liability company,4700293616,"Số nhà 118, tổ 13, P. Nguyễn Thị Minh Khai, Thành phố Bắc Kạn, Tỉnh Bắc Kạn, Việt Nam",NÔNG THỊ LUYẾN,0335916868,2024-08-16,Cục Thuế Tỉnh Bắc Kạn,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH HOÀNG CHUNG NGỌC 68,HOANG CHUNG NGOC 68 COMPANY LIMITED,"Bản Khau Liêu, Xã Thượng Quan, Huyện Ngân Sơn, Tỉnh Bắc Kạn, Việt Nam",,,2024-08-27,Chi cục Thuế khu vực Ba Bể - Ngân Sơn - Pác Nặm,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH THƯƠNG MẠI VÀ XÂY DỰNG TỔNG HỢP TRƯỜNG AN 68,TRUONG AN 68 TRADING AND GENERAL CONSTRUCTION COMPANY LIMITED,"Thôn Nà Ro, Xã Văn Minh, Huyện Na Rì, Tỉnh Bắc Kạn, Việt Nam",,,2024-08-28,Cục Thuế Tỉnh Bắc Kạn,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH THƯƠNG MẠI VÀ XÂY DỰNG ĐỨC KIÊN 96,DUC KIEN 96 TRADING AND CONSTRUCTION COMPANY LIMITED,"Thôn Sắc Sái, Xã Cư Lễ, Huyện Na Rì, Tỉnh Bắc Kạn, Việt Nam",,,2024-08-28,Cục Thuế Tỉnh Bắc Kạn,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY CP BẾ GIA GROUP,4700293704,,0898282888,,Cục Thuế Tỉnh Bắc Kạn,,,,
CÔNG TY TNHH DU LỊCH QUỐC TẾ YOUR VIETNAMESE GUIDE,Your Vietnamese Guide International Travel Company Limited,4700293711,"Số nhà 18, tổ 4, Phường Đức Xuân, Thành phố Bắc Kạn, Tỉnh Bắc Kạn, Việt Nam",NGUYỄN NHƯ LINH,037 6712 924,2024-08-30,Chi cục Thuế khu vực Bắc Kạn - Bạch Thông - Chợ Mới,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY CỔ PHẦN NÔNG NGHIỆP CÔNG NGHỆ CAO YÊN THỊNH BẮC KẠN,4700293743,,0989833686,,Cục Thuế Tỉnh Bắc Kạn,,,,
